ticker,name,sector,year,revenue_bn,rd_bn,net_income_bn,ocf_bn,capex_bn,fcf_bn,rd_intensity,net_margin,fcf_margin,capex_intensity
CVX,Chevron,Energy,2018,166.339,0.453,14.824,30.618,13.792,16.826,0.0027233541141884945,0.08911920836364293,0.10115487047535454,0.08291501091145191
CVX,Chevron,Energy,2019,146.516,0.5,2.924,27.314,14.116,13.198,0.0034125965764831147,0.019956864779273255,0.09007889923284829,0.0963444265472713
CVX,Chevron,Energy,2020,94.692,0.435,-5.543,10.577,8.922,1.655,0.0045938410847801295,-0.05853715202973852,0.01747771723060026,0.09422126473197313
CVX,Chevron,Energy,2021,162.465,0.268,15.6,29.187,8.056,21.131,0.0016495860646908566,0.09602068137752746,0.1300649370633675,0.04958606469085649
CVX,Chevron,Energy,2022,246.252,0.268,35.5,49.602,11.974,37.628,0.0010883160339814498,0.144161265695304,0.15280281987557462,0.048624985786917464
CVX,Chevron,Energy,2023,200.949,0.32,21.4,35.609,15.829,19.78,0.001592443853913182,0.10649468273044405,0.09843293572000857,0.07877123051122424
CVX,Chevron,Energy,2024,202.792,0.353,17.7,31.492,16.448,15.044,0.001740699830368062,0.0872815495680303,0.0741843859718332,0.0811077360053651
DUK,Duke Energy,Energy,2018,23.757,,2.666,7.186,9.389,-2.203,,0.11221955634128888,-0.09273056362335312,0.39520983289135836
DUK,Duke Energy,Energy,2019,24.348,,3.748,8.209,11.122,-2.913,,0.15393461475275177,-0.1196402168555939,0.4567931657631017
DUK,Duke Energy,Energy,2020,23.253,,1.377,8.856,9.907,-1.051,,0.05921816539801316,-0.04519846901475078,0.42605255235883543
DUK,Duke Energy,Energy,2021,24.486,,3.908,8.29,9.715,-1.425,,0.15960140488442376,-0.058196520460671405,0.39675733071959485
DUK,Duke Energy,Energy,2022,28.675,,2.55,5.927,11.367,-5.44,,0.08892763731473409,-0.18971229293809938,0.39640802092414995
DUK,Duke Energy,Energy,2023,28.674,,2.841,9.878,12.604,-2.726,,0.09907930529399456,-0.09506870335495571,0.43956197251865803
DUK,Duke Energy,Energy,2024,30.05,,4.524,12.328,12.28,0.048,,0.15054908485856905,0.0015973377703826955,0.4086522462562396
XOM,ExxonMobil,Energy,2018,290.212,1.116,20.84,36.014,19.574,16.44,0.0038454646947748542,0.07180957369095696,0.05664824335313495,0.06744724546193817
XOM,ExxonMobil,Energy,2019,264.938,1.214,14.34,29.716,24.361,5.355,0.004582204138326703,0.0541258709584884,0.020212276079686568,0.09194981467362175
XOM,ExxonMobil,Energy,2020,181.502,1.016,-22.44,14.668,17.282,-2.614,0.005597734460226334,-0.12363500126720367,-0.014402045156527201,0.09521658163546408
XOM,ExxonMobil,Energy,2021,285.64,0.843,23.04,48.129,12.076,36.053,0.0029512673295056715,0.0806609718526817,0.1262183167623582,0.04227699201792466
XOM,ExxonMobil,Energy,2022,413.68,0.824,55.74,76.797,18.407,58.39,0.001991877779926513,0.13474182943337845,0.14114774705086056,0.04449574550377103
XOM,ExxonMobil,Energy,2023,344.582,0.9,36.01,55.369,21.919,33.45,0.0026118601668108027,0.10450342734095222,0.0970741361998015,0.0636104033292511
XOM,ExxonMobil,Energy,2024,349.585,1.0,33.68,55.022,24.306,30.716,0.0028605346339230803,0.09634280647052934,0.08786418181558134,0.06952815481213438
JNJ,Johnson & Johnson,Healthcare,2018,81.581,10.775,15.297,22.201,3.67,18.531,0.13207732192544833,0.18750689498780354,0.22714847819958078,0.04498596486927103
JNJ,Johnson & Johnson,Healthcare,2019,82.059,11.355,15.119,23.416,3.498,19.918,0.1383760465031258,0.1842454819093579,0.2427277934169317,0.04262786531641868
JNJ,Johnson & Johnson,Healthcare,2020,82.584,12.159,14.714,23.536,3.347,20.189,0.14723190932868352,0.17817010558946042,0.24446624043398238,0.04052843165746391
JNJ,Johnson & Johnson,Healthcare,2021,78.74,14.277,20.878,23.41,3.652,19.758,0.18131826263652528,0.2651511303022606,0.2509271018542037,0.04638049276098552
JNJ,Johnson & Johnson,Healthcare,2022,79.99,14.135,17.941,21.194,4.009,17.185,0.17670958869858733,0.22429053631703963,0.21483935491936493,0.0501187648456057
JNJ,Johnson & Johnson,Healthcare,2023,85.159,15.085,35.153,22.791,4.543,18.248,0.17713923366878429,0.41279254101151963,0.2142815204499818,0.05334726805152714
JNJ,Johnson & Johnson,Healthcare,2024,88.821,17.232,14.066,24.266,4.424,19.842,0.194008173742696,0.1583634500850024,0.2233931164927213,0.04980804089123068
PFE,Pfizer,Healthcare,2018,,7.76,11.153,15.827,1.984,13.843,,,,
PFE,Pfizer,Healthcare,2019,,8.385,16.026,12.588,2.046,10.542,,,,
PFE,Pfizer,Healthcare,2020,41.651,8.709,9.159,14.403,2.226,12.177,0.20909461957696093,0.21989868190439604,0.2923579265803942,0.05344409497971237
PFE,Pfizer,Healthcare,2021,81.288,10.36,21.979,32.58,2.711,29.869,0.12744808581832498,0.27038431256766066,0.3674466095856707,0.03335055604763311
PFE,Pfizer,Healthcare,2022,101.175,11.428,31.372,29.267,3.236,26.031,0.11295280454657772,0.3100765999505807,0.2572868791697554,0.03198418581665431
PFE,Pfizer,Healthcare,2023,59.553,10.679,2.119,8.7,3.907,4.793,0.1793192618339966,0.03558175070945208,0.08048293117055395,0.06560542709855087
